Unnamed: 0,id,original_language,title,overview,popularity,release_date,vote_average,vote_count
4424,10226,fr,High Tension,"best friends marie and alexia decide to spend a quiet weekend at alexia's parents' secluded farmhouse. but on the night of their arrival, the girls' idyllic getaway turns into an endless night of horror.",30.061,2003-06-18,6.734,1272
3433,41428,ja,Tetsuo: The Iron Man,"a ""metal fetishist"", driven mad by the maggots wriggling in the wound he's made to embed metal into his flesh, runs out into the night and is accidentally run down by a japanese businessman and his girlfriend. the pair dispose of the corpse in hopes of quietly moving on with their lives. however, the businessman soon finds that he is now plagued by a vicious curse that transforms his flesh into iron.",14.608,1989-07-01,6.956,570
8740,10762,en,Without a Paddle,"three friends, whose lives have been drifting apart, reunite for the funeral of a fourth childhood friend. when looking through their childhood belongings, they discover a trunk which contained details on a quest their friend was attempting. it revealed that he was hot on the trail of the $200,000 that went missing with airplane hijacker d.b. cooper in 1971. they decide to continue his journey, but do not understand the dangers they will soon encounter.",16.792,2004-08-20,5.6,628
1731,451048,en,Jungle Cruise,"dr. lily houghton enlists the aid of wisecracking skipper frank wolff to take her down the amazon in his dilapidated boat. together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",47.22,2021-07-28,7.4,5589
7773,74945,fr,War of the Buttons,"occupied france; lebrac leads a play war between two rival kid gangs, but a girl he likes, who's jewish, is in danger of being discovered by local nazi sympathisers. lebrac and the village must now respond to the reality of what's happening.",9.632,2011-09-21,5.969,464
9482,13166,en,Freddy Got Fingered,"unemployed cartoonist gord brody moves back in with his parents jim and julie and younger brother freddy. when his parents demand he leave, he retaliates by spreading rumors that jim is sexually abusing freddy.",32.153,2001-04-20,4.673,413
4322,381262,fr,In Her Name,"in 1982, andré bamberski learns about the death of his 14 year-old daughter, kalinka, while she was on vacation with her mother and stepfather in germany. convinced that kalinka’s death was not an accident, bamberski begins to investigate. a botched autopsy report raises his suspicions and leads him to accuse kalinka’s stepfather, dr dieter krombach, as the murderer. unable to indict krombach in germany, bamberski attempts to take the trial to france, where he will dedicate his life to kalinka’s justice and the imprisonment of krombach.",10.683,2016-03-16,6.759,309
4834,86825,en,Stoker,"after india stoker's father dies, her uncle charlie, who she never knew existed, comes to live with her and her unstable mother. she comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him.",19.711,2013-02-28,6.651,2178
4673,10731,en,The Client,"a street-wise kid, mark sway, sees the suicide of jerome clifford, a prominent louisiana lawyer, whose current client is barry 'the blade' muldano, a mafia hit-man. before jerome shoots himself, he tells mark where the body of a senator is buried. clifford shoots himself and mark is found at the scene, and both the fbi and the mafia quickly realize that mark probably knows more than he says.",20.795,1994-07-20,6.683,1095
6370,257445,en,Goosebumps,"after moving to a small town, zach cooper finds a silver lining when he meets next door neighbor hannah, the daughter of bestselling goosebumps series author r.l. stine. when zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to stine, zach and hannah to get all of them back in the books where they belong.",38.384,2015-08-05,6.314,3696
3952,95,en,Armageddon,"when an asteroid threatens to collide with earth, nasa honcho dan truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. this leads him to renowned driller harry stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. among them is the cocksure a.j. who harry thinks isn't good enough for his daughter, until the mission proves otherwise.",45.401,1998-07-01,6.84,7799
